t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,2,-0.0222152,-0.000105163,1.97244e-06,2.00121e-06
1.72247e+09,0.0110804,-13,0.143857,-0.000187579,1.87984e-06,2.00092e-06
1.72247e+09,0.0110079,4,-0.0441793,-0.000147582,1.83998e-06,2.00071e-06
1.72247e+09,0.0110417,-10,0.11017,-0.000246594,2.03522e-06,2.00066e-06
1.72247e+09,0.011099,-21,0.231931,-0.00114675,1.90068e-06,2.0004e-06
1.72247e+09,0.0110747,2,-0.0220365,0.00011288,1.75277e-06,2.00018e-06
1.72247e+09,0.0111165,-11,0.122339,5.78471e-05,1.6723e-06,2.00003e-06
1.72247e+09,0.0110962,0,0.000173927,0.000173927,1.51066e-06,2.00073e-06
1.72247e+09,0.0110181,5,-0.0553115,-0.000220874,1.99458e-06,2.00107e-06
1.72248e+09,0.0109812,30,-0.33047,-0.00103447,2.03195e-06,2.00091e-06
1.72248e+09,0.0110029,25,-0.275592,-0.000519663,1.64408e-06,2.00046e-06
1.72248e+09,0.0110089,29,-0.319859,-0.000600835,2.0367e-06,2.0005e-06
1.72248e+09,0.0110879,43,-0.475916,0.000863748,2.24101e-06,2.00035e-06
1.72248e+09,0.0110636,64,-0.708321,-0.00024853,1.86556e-06,2.00007e-06
1.72248e+09,0.0110547,68,-0.752398,-0.000678575,1.64339e-06,2.00089e-06
1.72248e+09,0.0111007,31,-0.342764,0.00135834,1.71164e-06,2.00082e-06
1.72248e+09,0.0110005,59,-0.652835,-0.00380492,1.9953e-06,2.00092e-06
1.72248e+09,0.0110071,32,-0.355711,-0.00348264,2.19387e-06,2.00087e-06
1.72248e+09,0.0110415,27,-0.300417,-0.00229679,1.96976e-06,2.0005e-06
1.72248e+09,0.0110004,18,-0.200963,-0.00295646,1.77719e-06,2.00025e-06
1.72248e+09,0.0110289,-8,0.0855463,-0.00268497,1.73201e-06,2.00009e-06
1.72248e+09,0.0109822,2,-0.0244837,-0.0025193,1.47648e-06,2.00074e-06
1.72248e+09,0.0109371,-4,0.0407267,-0.00302177,1.99932e-06,2.00116e-06
1.72248e+09,0.0109399,-2,0.0189393,-0.00294057,2.28742e-06,2.00126e-06
1.72248e+09,0.0110127,-39,0.425186,-0.00430865,1.8559e-06,2.00065e-06
1.72248e+09,0.0109968,-56,0.612617,-0.00320295,1.65154e-06,2.00038e-06
1.72248e+09,0.0109873,-59,0.645675,-0.00257509,1.49697e-06,2.0002e-06
1.72248e+09,0.0109856,-81,0.887713,-0.00212348,1.34764e-06,2.00007e-06
1.72248e+09,0.0109242,-46,0.504906,0.00239046,1.37399e-06,2.00066e-06
1.72249e+09,0.010956,-56,0.614404,0.000869352,1.40067e-06,2.00059e-06
1.72249e+09,0.0108798,-37,0.40679,0.00423826,1.40717e-06,2.0005e-06
1.72249e+09,0.0106748,-27,0.298966,0.0107457,3.64284e-06,2.00266e-06
1.72249e+09,0.0106685,-57,0.617976,0.00987199,4.87577e-06,2.00357e-06
1.72249e+09,0.0106513,-37,0.405855,0.011759,3.90535e-06,2.00153e-06
1.72249e+09,0.0105135,-48,0.519801,0.0151531,4.18345e-06,2.00088e-06
1.72249e+09,0.010484,-59,0.635358,0.0168032,4.28891e-06,2e-06
1.72249e+09,0.0104976,-46,0.499912,0.0170232,3.39844e-06,2.00358e-06
1.72249e+09,0.0105635,-46,0.500433,0.014512,3.03934e-06,2.0024e-06
1.72249e+09,0.0105888,-35,0.384405,0.0137971,2.15349e-06,2.00097e-06
1.72249e+09,0.0106073,-48,0.522335,0.0131828,2.0774e-06,2.00069e-06
1.72249e+09,0.0105862,-34,0.374124,0.0141913,1.81221e-06,2.00036e-06
1.72249e+09,0.0106394,-58,0.6288,0.0117147,1.55416e-06,2.00015e-06
1.72249e+09,0.0106558,-39,0.426518,0.0109416,1.42144e-06,2.00002e-06
1.72249e+09,0.0106076,-29,0.320348,0.0127274,1.41409e-06,2.00064e-06
1.72249e+09,0.0105629,-13,0.151099,0.0137819,1.5201e-06,2.00062e-06
1.72249e+09,0.0105681,-9,0.109087,0.0139737,1.54128e-06,2.00052e-06
1.72249e+09,0.0105652,21,-0.208058,0.0138114,1.35535e-06,2.00031e-06
1.72249e+09,0.0105747,36,-0.36598,0.0147087,1.43457e-06,2.00025e-06
1.72249e+09,0.0105988,28,-0.281309,0.0154568,1.60822e-06,2.00018e-06
1.7225e+09,0.010527,30,-0.303509,0.0123021,2.26836e-06,2.0001e-06
1.7225e+09,0.0104962,13,-0.125638,0.0108117,2.85264e-06,2.00269e-06
1.7225e+09,0.0105878,-41,0.443616,0.00951593,2.56612e-06,2.00185e-06
1.7225e+09,0.0105613,-37,0.401495,0.0107272,1.96435e-06,2.00089e-06
1.7225e+09,0.010546,-25,0.274936,0.0112859,1.48845e-06,2.0004e-06
1.7225e+09,0.0105505,-44,0.475374,0.0111523,1.49586e-06,2.00029e-06
1.7225e+09,0.0105533,-70,0.74951,0.0107772,1.66248e-06,2.00022e-06
1.7225e+09,0.010525,-86,0.918833,0.0136792,1.6086e-06,2.00008e-06
1.7225e+09,0.0105348,-98,1.04515,0.0127378,1.6321e-06,2.00091e-06
1.7225e+09,0.0105271,-104,1.1083,0.0134815,1.53055e-06,2.00068e-06
1.7225e+09,0.010531,-112,1.19267,0.0131995,1.40845e-06,2.00048e-06
1.7225e+09,0.0105451,-125,1.32968,0.0115366,1.63887e-06,2.00051e-06
1.7225e+09,0.0105917,-131,1.39312,0.00560622,1.70852e-06,2.00041e-06
1.7225e+09,0.010576,-116,1.23439,0.00758174,1.43955e-06,2.00019e-06
1.7225e+09,0.0105911,-115,1.22381,0.00584082,1.30625e-06,2.00007e-06
