t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,-3,0.0332075,4.24597e-05,1.97244e-06,2.00121e-06
1.72247e+09,0.0110804,-20,0.221451,-0.000156913,1.87984e-06,2.00092e-06
1.72247e+09,0.0110079,-2,0.0223744,0.000358507,1.83998e-06,2.00071e-06
1.72247e+09,0.0110417,-16,0.176762,9.58975e-05,2.03522e-06,2.00066e-06
1.72247e+09,0.011099,-36,0.398272,-0.00129088,1.90068e-06,2.0004e-06
1.72247e+09,0.0110747,-16,0.177556,0.000361321,1.75277e-06,2.00018e-06
1.72247e+09,0.0111165,-31,0.344126,-0.000485515,1.6723e-06,2.00003e-06
1.72247e+09,0.0110962,-24,0.26648,0.000171079,1.51066e-06,2.00073e-06
1.72247e+09,0.0110181,-11,0.122606,0.00140683,1.99458e-06,2.00107e-06
1.72248e+09,0.0109812,22,-0.240547,0.00103925,2.03195e-06,2.00091e-06
1.72248e+09,0.0110029,21,-0.229683,0.00137762,1.64408e-06,2.00046e-06
1.72248e+09,0.0110089,28,-0.30695,0.00129991,2.0367e-06,2.0005e-06
1.72248e+09,0.0110879,47,-0.518367,0.00276438,2.24101e-06,2.00035e-06
1.72248e+09,0.0110636,72,-0.795042,0.00153943,1.86556e-06,2.00007e-06
1.72248e+09,0.0110547,81,-0.89449,0.000940761,1.64339e-06,2.00089e-06
1.72248e+09,0.0111007,50,-0.5512,0.00383588,1.71164e-06,2.00082e-06
1.72248e+09,0.0110005,89,-0.982575,-0.00352925,1.9953e-06,2.00092e-06
1.72248e+09,0.0110071,73,-0.806515,-0.0029936,2.19387e-06,2.00087e-06
1.72248e+09,0.0110415,71,-0.784291,-0.000344288,1.96976e-06,2.0005e-06
1.72248e+09,0.0110004,64,-0.706893,-0.00287008,1.77719e-06,2.00025e-06
1.72248e+09,0.0110289,37,-0.409357,-0.00128668,1.73201e-06,2.00009e-06
1.72248e+09,0.0109822,47,-0.519387,-0.0032231,1.47648e-06,2.00074e-06
1.72248e+09,0.0109371,40,-0.443229,-0.005744,1.99932e-06,2.00116e-06
1.72248e+09,0.0109399,41,-0.454059,-0.00552107,2.28742e-06,2.00126e-06
1.72248e+09,0.0110127,-2,0.0180422,-0.00398316,1.8559e-06,2.00065e-06
1.72248e+09,0.0109968,-22,0.238568,-0.00336131,1.65154e-06,2.00038e-06
1.72248e+09,0.0109873,-30,0.326551,-0.00306815,1.49697e-06,2.0002e-06
1.72248e+09,0.0109856,-55,0.601596,-0.00261349,1.34764e-06,2.00007e-06
1.72248e+09,0.0109242,-23,0.25165,0.000392302,1.37399e-06,2.00066e-06
1.72249e+09,0.010956,-41,0.448642,-0.000553256,1.40067e-06,2.00059e-06
1.72249e+09,0.0108798,-28,0.306658,0.00202404,1.40717e-06,2.0005e-06
1.72249e+09,0.0106748,-25,0.274977,0.00810672,3.64284e-06,2.00266e-06
1.72249e+09,0.0106685,-117,1.25385,0.00563331,4.87577e-06,2.00357e-06
1.72249e+09,0.0106513,-129,1.38276,0.00874738,3.90535e-06,2.00153e-06
1.72249e+09,0.0105135,-147,1.57042,0.0249392,4.18345e-06,2.00088e-06
1.72249e+09,0.010484,-168,1.79083,0.0295188,4.28891e-06,2e-06
1.72249e+09,0.0104976,-212,2.25094,0.0254575,3.39844e-06,2.00358e-06
1.72249e+09,0.0105635,-252,2.67246,0.0104563,3.03934e-06,2.0024e-06
1.72249e+09,0.0105888,-250,2.65152,0.00432335,2.15349e-06,2.00097e-06
1.72249e+09,0.0106073,-272,2.88494,-0.00025827,2.0774e-06,2.00069e-06
1.72249e+09,0.0105862,-260,2.75792,0.00549728,1.81221e-06,2.00036e-06
1.72249e+09,0.0106394,-289,3.06568,-0.00910422,1.55416e-06,2.00015e-06
1.72249e+09,0.0106558,-270,2.8634,-0.0136671,1.42144e-06,2.00002e-06
1.72249e+09,0.0106076,-264,2.79974,-0.000669527,1.41409e-06,2.00064e-06
1.72249e+09,0.0105629,-252,2.67281,0.0109681,1.5201e-06,2.00062e-06
1.72249e+09,0.0105681,-248,2.6308,0.00990659,1.54128e-06,2.00052e-06
