t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,0,0.00049135,0.00049135,1.97244e-06,3.20598e-06
1.72247e+09,0.0110804,-13,0.144479,0.000434446,1.87984e-06,2.91872e-06
1.72247e+09,0.0110079,-8,0.0890429,0.000979539,1.83998e-06,2.71089e-06
1.72247e+09,0.0110417,-16,0.177679,0.00101207,2.03522e-06,2.66266e-06
1.72247e+09,0.011099,-29,0.321514,-0.000356129,1.90068e-06,2.39731e-06
1.72247e+09,0.0110747,-9,0.100679,0.00100674,1.75277e-06,2.18425e-06
1.72247e+09,0.0111165,-23,0.256148,0.000468778,1.6723e-06,2.02788e-06
1.72247e+09,0.0110962,-27,0.300593,0.000995984,1.51066e-06,2.73029e-06
1.72247e+09,0.0110181,-21,0.234058,0.00267796,1.99458e-06,3.07427e-06
1.72248e+09,0.0109812,3,-0.0299144,0.00302919,2.03195e-06,2.90846e-06
1.72248e+09,0.0110029,-1,0.0140946,0.00309171,1.64408e-06,2.45956e-06
1.72248e+09,0.0110089,22,-0.238759,0.00343692,2.0367e-06,2.4979e-06
1.72248e+09,0.0110879,39,-0.427882,0.0045463,2.24101e-06,2.35172e-06
1.72248e+09,0.0110636,64,-0.70461,0.00346217,1.86556e-06,2.06969e-06
1.72248e+09,0.0110547,70,-0.770902,0.00292665,1.64339e-06,2.89142e-06
1.72248e+09,0.0111007,49,-0.53826,0.00567486,1.71164e-06,2.82052e-06
1.72248e+09,0.0110005,72,-0.79265,-0.000613058,1.9953e-06,2.91598e-06
1.72248e+09,0.0110071,58,-0.63847,-5.5886e-05,2.19387e-06,2.86673e-06
1.72248e+09,0.0110415,59,-0.649313,0.00213547,1.96976e-06,2.50469e-06
1.72248e+09,0.0110004,53,-0.582968,5.0993e-05,1.77719e-06,2.25289e-06
1.72248e+09,0.0110289,37,-0.406619,0.00145079,1.73201e-06,2.09019e-06
1.72248e+09,0.0109822,47,-0.516537,-0.000373532,1.47648e-06,2.74141e-06
1.72248e+09,0.0109371,57,-0.6261,-0.00268409,1.99932e-06,3.1597e-06
1.72248e+09,0.0109399,60,-0.658676,-0.00227912,2.28742e-06,3.2564e-06
1.72248e+09,0.0110127,40,-0.438906,0.00160166,1.8559e-06,2.65484e-06
1.72248e+09,0.0109968,28,-0.306479,0.00143087,1.65154e-06,2.38216e-06
1.72248e+09,0.0109873,25,-0.273396,0.00128575,1.49697e-06,2.20191e-06
1.72248e+09,0.0109856,-2,0.0236737,0.00170246,1.34764e-06,2.07281e-06
1.72248e+09,0.0109242,25,-0.27158,0.00152654,1.37399e-06,2.66093e-06
1.72249e+09,0.010956,14,-0.151126,0.00225818,1.40067e-06,2.58875e-06
1.72249e+09,0.0108798,32,-0.347912,0.000240279,1.40717e-06,2.49522e-06
1.72249e+09,0.0106748,35,-0.379419,-0.00580036,3.64284e-06,4.65594e-06
1.72249e+09,0.0106685,13,-0.145186,-0.00649569,4.87577e-06,5.56935e-06
1.72249e+09,0.0106513,24,-0.26205,-0.0064194,3.90535e-06,3.52734e-06
1.72249e+09,0.0105135,18,-0.202209,-0.0129656,4.18345e-06,2.87759e-06
1.72249e+09,0.010484,7,-0.0866845,-0.0132966,4.28891e-06,2.0026e-06
1.72249e+09,0.0104976,-11,0.101658,-0.0138158,3.39844e-06,5.58201e-06
1.72249e+09,0.0105635,-32,0.323094,-0.0149383,3.03934e-06,4.4031e-06
1.72249e+09,0.0105888,-30,0.30207,-0.0155936,2.15349e-06,2.97448e-06
1.72249e+09,0.0106073,-54,0.556748,-0.0160484,2.0774e-06,2.69106e-06
1.72249e+09,0.0105862,-38,0.387264,-0.0150138,1.81221e-06,2.36168e-06
1.72249e+09,0.0106394,-68,0.705557,-0.017922,1.55416e-06,2.14519e-06
1.72249e+09,0.0106558,-47,0.481969,-0.0188542,1.42144e-06,2.02041e-06
1.72249e+09,0.0106076,-41,0.418343,-0.0165691,1.41409e-06,2.64019e-06
1.72249e+09,0.0105629,-29,0.291226,-0.0150967,1.5201e-06,2.62425e-06
1.72249e+09,0.0105681,-28,0.280757,-0.0151499,1.54128e-06,2.52299e-06
1.72249e+09,0.0105652,2,-0.0363707,-0.0152403,1.35535e-06,2.31255e-06
1.72249e+09,0.0105747,19,-0.215356,-0.0144365,1.43457e-06,2.24727e-06
1.72249e+09,0.0105988,12,-0.141249,-0.0140637,1.60822e-06,2.18146e-06
1.7225e+09,0.010527,20,-0.226516,-0.0159753,2.26836e-06,2.10382e-06
1.7225e+09,0.0104962,-1,-0.0064818,-0.016978,2.85264e-06,4.6869e-06
1.7225e+09,0.0105878,-38,0.383277,-0.0190599,2.56612e-06,3.84501e-06
1.7225e+09,0.0105613,-34,0.341167,-0.0179169,1.96435e-06,2.88816e-06
1.7225e+09,0.010546,-46,0.467727,-0.0173897,1.48845e-06,2.39913e-06
1.7225e+09,0.0105505,-79,0.815654,-0.0178354,1.49586e-06,2.29124e-06
1.7225e+09,0.0105533,-111,1.15309,-0.0183285,1.66248e-06,2.22156e-06
1.7225e+09,0.010525,-136,1.41752,-0.0138841,1.6086e-06,2.07804e-06
1.7225e+09,0.0105348,-158,1.64911,-0.0153912,1.6321e-06,2.90559e-06
1.7225e+09,0.0105271,-167,1.74383,-0.0141975,1.53055e-06,2.67926e-06
1.7225e+09,0.010531,-181,1.89146,-0.0146535,1.40845e-06,2.476e-06
1.7225e+09,0.0105451,-205,2.14429,-0.0174581,1.63887e-06,2.51022e-06
1.7225e+09,0.0105917,-221,2.31365,-0.0271167,1.70852e-06,2.40857e-06
1.7225e+09,0.010576,-220,2.30323,-0.0234794,1.43955e-06,2.18641e-06
1.7225e+09,0.0105911,-229,2.39842,-0.026928,1.30625e-06,2.06815e-06
1.7225e+09,0.0105928,-236,2.4726,-0.0273002,1.18522e-06,2.49163e-06
1.7225e+09,0.0106005,-246,2.5785,-0.029231,1.06818e-06,2.3422e-06
1.7225e+09,0.0106158,-268,2.81201,-0.0330223,1.33545e-06,2.44575e-06
1.7225e+09,0.0105945,-283,2.97115,-0.027101,1.40768e-06,2.39611e-06
1.7225e+09,0.0105718,-279,2.92894,-0.0205894,1.48319e-06,2.32977e-06
1.72251e+09,0.0105581,-283,2.97135,-0.0166031,1.4539e-06,2.21117e-06
1.72251e+09,0.0105301,-279,2.92933,-0.00855998,1.30771e-06,2.08532e-06
1.72251e+09,0.0105278,-298,3.12958,-0.00769955,1.21696e-06,2.53299e-06
