t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,1,-0.0113801,-0.000325073,1.97244e-06,2.1206e-06
1.72247e+09,0.0110804,-7,0.0769155,-0.000647187,1.87984e-06,2.09187e-06
1.72247e+09,0.0110079,-1,0.0103411,-0.000666871,1.83998e-06,2.07109e-06
1.72247e+09,0.0110417,-5,0.0543823,-0.000826022,2.03522e-06,2.06627e-06
1.72247e+09,0.011099,2,-0.0232598,-0.0010619,1.90068e-06,2.03973e-06
1.72247e+09,0.0110747,1,-0.0120657,-0.000991035,1.75277e-06,2.01843e-06
1.72247e+09,0.0111165,-4,0.0434668,-0.000999184,1.6723e-06,2.00279e-06
1.72247e+09,0.0110962,2,-0.0233989,-0.00120654,1.51066e-06,2.07303e-06
1.72247e+09,0.0110181,-1,0.00960441,-0.00141371,1.99458e-06,2.10743e-06
1.72248e+09,0.0109812,-1,0.00948982,-0.00149137,2.03195e-06,2.09085e-06
1.72248e+09,0.0110029,3,-0.0346355,-0.00162685,1.64408e-06,2.04596e-06
1.72248e+09,0.0110089,-1,0.00845831,-0.00255061,2.0367e-06,2.04979e-06
1.72248e+09,0.0110879,4,-0.0472987,-0.00294705,2.24101e-06,2.03517e-06
1.72248e+09,0.0110636,10,-0.113715,-0.00307907,1.86556e-06,2.00697e-06
1.72248e+09,0.0110547,-1,0.00804775,-0.00300695,1.64339e-06,2.08914e-06
1.72248e+09,0.0111007,-3,0.0297938,-0.00350833,1.71164e-06,2.08205e-06
1.72248e+09,0.0110005,-1,0.00685267,-0.00414785,1.9953e-06,2.0916e-06
1.72248e+09,0.0110071,1,-0.0153793,-0.00437219,2.19387e-06,2.08667e-06
1.72248e+09,0.0110415,-4,0.0394796,-0.00468639,1.96976e-06,2.05047e-06
1.72248e+09,0.0110004,0,-0.00453343,-0.00453343,1.77719e-06,2.02529e-06
1.72248e+09,0.0110289,-8,0.0836016,-0.00462969,1.73201e-06,2.00902e-06
1.72248e+09,0.0109822,1,-0.0154995,-0.0045173,1.47648e-06,2.07414e-06
1.72248e+09,0.0109371,0,-0.0049852,-0.0049852,1.99932e-06,2.11597e-06
1.72248e+09,0.0109399,-1,0.00579516,-0.00514479,2.28742e-06,2.12564e-06
1.72248e+09,0.0110127,-3,0.027591,-0.00544705,1.8559e-06,2.06548e-06
1.72248e+09,0.0109968,3,-0.0384968,-0.00550647,1.65154e-06,2.03822e-06
