config_id,gamma,use_inventory_skew,book_updates,total_fills,buys,sells,final_q,final_x,final_mid,turnover,pnl
g0.01_inv,0.01,true,1036690,479628,239820,239808,12,-0.218295,0.00773577,3970.2,-0.125465
g0.01_sym,0.01,false,1036690,480889,240696,240193,503,-1.58965,0.00773577,3981.37,2.30145
g0.1_inv,0.1,true,1036690,478882,239434,239448,-14,-0.23316,0.00773577,3963.55,-0.341461
g0.1_sym,0.1,false,1036690,479159,239841,239318,523,-1.72086,0.00773577,3966.51,2.32495
g1_inv,1,true,1036690,476517,238253,238264,-11,-0.310055,0.00773577,3944.25,-0.395149
g1_sym,1,false,1036690,474692,237614,237078,536,-1.66116,0.00773577,3929.36,2.48521
g10_inv,10,true,1036690,458327,229162,229165,-3,-0.373471,0.00773577,3799.81,-0.396678
g10_sym,10,false,1036690,452461,226544,225917,627,-2.36662,0.00773577,3751.1,2.4837
g100_inv,100,true,1036690,344119,172059,172060,-1,-0.326984,0.00773577,2890.48,-0.33472
g100_sym,100,false,1036690,295059,147707,147352,355,-0.721957,0.00773577,2483.19,2.02424
